Cyclists Names,Trip Name,Tagline,No. of riders,Male / Female,Nationalities,Start,Finish,Duration (months),Ongoing,Cost per person (original currency),Cost per person (GBP£),Total distance (km),Total distance miles,"Average monthly distance (km, calculated)",Cost per km (calculated),Cost per month (calculated),Type of bike,Bicycle make/model,Gears,Handlebars,Brakes,Wheel size,Luggage,What footwear/pedals did you use?,Europe,Africa,Australasia,North America,South America,Asia,Parts of Asia,Round-the-world,Website,Route map,Kit list,Titles,Buy (UK),Buy (World)
Francisco Elias,Raid ciclístico Argentina–Canadá,,1,Male only,Argentina,Jan-52,May-53,"1 yrs, 4 m",No,,,18000,11185,"1,125",,,Road/racing bike,,No gears!,Drop bars (racing style),Rim,,Back rack,Pedals with baskets/cages/straps,No,No,No,Yes,Yes,No,,No,http://www.franciscoelias.com.ar/,,,,,
David Byrne,Cycling the World 1975,"A teen's solo bike trip through Europe, Asia and North America from 1975 to 1977.",1,Male only,American,Jun-75,Dec-77,"2 yrs, 6 m",No,"$46,000","£27,996","43,385",26958,"1,446",£0.65,£933,Touring bike,Schwinn Sports Tourer,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,No,Yes,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,http://www.crazyguyonabike.com/dbyrne,Map,Kit List,,,
Frank van Rijn,,The first of many,1,Male only,Dutch,Dec-79,Sep-80,"0 yrs, 9 m",No,,,24200,15037,"2,420",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,Yes,No,,No,http://www.frankvanrijn.nl,,,,,
Frank van Rijn,,Europe and East / South Africa,1,Male only,Dutch,Jul-81,May-82,"0 yrs, 10 m",No,,,26000,16156,"2,600",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,No,No,No,Yes,Middle East,No,http://www.frankvanrijn.nl,,,,,
Frank van Rijn,,Asia,1,Male only,Dutch,Jun-83,Jun-84,"1 yrs, 0 m",No,,,35100,21810,"2,700",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",No,http://www.frankvanrijn.nl,,,,,
Frank van Rijn,,South America,1,Male only,Dutch,Jan-85,Dec-85,"0 yrs, 11 m",No,,,26300,16342,"2,192",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,No,Yes,No,,No,http://www.frankvanrijn.nl,,,,,
"Jacqueline Edwards, Peter John Sloan",Travelling home to Australia,"UK to Australia through Europe, India and South East Asia",2,Male and female,"British, Australian",Sep-85,Jun-86,"0 yrs, 9 m",No,1300,"£1,300",12000,7456,"1,333",£0.11,£144,Touring bike,"Carlton Courvette, Mercian 'King of Mercian Touring'",External gears,Drop bars (racing style),Rim,"27""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,No,No,Yes,"South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,,,,,,
Frank van Rijn,,Europe and West Africa,1,Male only,Dutch,May-86,Apr-87,"0 yrs, 11 m",No,,,26600,16529,"2,217",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,No,No,No,No,,No,http://www.frankvanrijn.nl,,,,,
Josie Dew,The Wind in my Wheels - around the world by bicycle,A constant wandering wheel,1,Female only,British,Jan-87,Dec-87,"0 yrs, 11 m",No,£1 - £10 / day average,,11000,6835,,,,Touring bike,Roberts Roughstuff,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack, Trailer",Pedals with baskets/cages/straps,Yes,No,No,No,No,No,,No,josiedew.com,,,"The Wind in my Wheels, Travels in a Strange State, A Ride in the Neon Sun and more...",Buy Now (UK),Buy Now (World)
Pete Abel and Debbie Ellen,World Tour 86-88,Fundraising trip to raise money for the Eritrean Public Health Programme.,2,Male and female,British,Oct-86,Sep-88,"1 yrs, 11 m",No,,,20800,,,,,Touring bike,Orbit Gold Medal Extra,External gears,Drop bars (racing style),Rim,27 x 1 1/4,"Front rack, Back rack, Plus top of rack tent etc",Pedals with baskets/cages/straps,Yes,Yes,No,Yes,Yes,Yes,"Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,,,,,,
